newpid,exchange,beta1,abs_ret_se,beta2,pos_se,beta3,interact_se,abs_ret_pval,pos_pval,interact_pval,r2_w,r2_b,r2_o,rho,n_panels,avg_dates,total_obs,beta1_flag,beta2_flag,beta3_flag,summation,freq
NNN,okcoincny,-.06164765,.041126031,-.21115062,.055971269,-.042602345,.052092101,.37453136,.16495971,.56358624,.02252578,1,.021855732,.0029243738,2,972.5,1945,N,N,N,-.10425,58
NNN,duedex,.019448429,0,.022870062,0,-.019352738,0,,,,.033721756,,.033721756,,1,544,544,N,N,N,.000095691532,58
NNN,btcexchange,.23620445,.1132085,-.5117839,.69449955,-.56076294,.25625247,.075363442,.48513672,.064839199,.025652574,.000055612785,.022906495,.093426161,8,238.75,1910,N,N,N,-.3245585,58
NNN,btc,-.018660711,.14660124,-.051921684,.31016567,-.014488706,.12609236,.90367252,.87361532,.91299182,.0019845618,.16494548,.00071381283,.051307637,6,147.16667,883,N,N,N,-.033149417,58
NNN,fybse,.20335273,0,-.45086733,0,-.6233409,0,,,,.052481111,,.052481111,,1,1080,1080,N,N,N,-.41998816,58
NNN,bitvc,.098819382,.18769221,-1.6958582,.87059045,-.10169768,.097986914,.69148147,.30193639,.48817095,.041558754,1,.044669054,.033194054,2,162,324,N,N,N,-.0028783008,58
NNN,coinmex,.0021416214,.011297385,-.015820786,.045302816,-.0055917003,.017130123,.85385412,.73495346,.75156564,.00086978154,.10559534,.00081986474,.01644391,10,295.60001,2956,N,N,N,-.0034500789,58
NNN,coinfloor,-.026582716,.065640032,.34552151,.15194674,-.22558296,.083100088,.71264166,.10753134,.072881147,.026156146,.73769271,.028956067,.060602568,4,686.25,2745,N,N,N,-.25216568,58
NNN,ooobtc,-.058078848,.58747464,-5.3523703,5.3243093,-.24100719,.54561049,.93026429,.42062652,.7018612,.021909658,.20320441,.013219815,.48856214,3,238.66667,716,N,N,N,-.29908603,58
NNN,chaoex,.18585926,.14873043,.16664562,.22862463,-.2021195,.16416427,.23191968,.47807711,.23852992,.012273935,.49144995,.014980366,.037683327,15,137,2055,N,N,N,-.016260237,58
NNN,cointiger,.029526969,.023900013,.16674553,.17091374,-.090347923,.079577476,.2303111,.3403621,.26902312,.011007874,.24861032,.014839066,.73018903,22,290.13635,6383,N,N,N,-.060820952,58
NNN,binanceftsc,-.00011060535,.0012397009,-.0074359439,.0040424913,-.00088426319,.0012965237,.92936414,.073471121,.49925312,.0017780128,.31341019,.0016640148,.011227127,40,958.40002,38336,N,N,N,-.00099486858,58
NNN,fcoin,.035328504,.02715895,.3892293,.53511739,-.055173051,.039021581,.20973241,.47635329,.17445095,.00093209196,.037163153,.00081159716,.015531929,19,114.42105,2174,N,N,N,-.019844547,58
NNN,ftxus,-.0046103001,.0064868117,.033024993,.038850699,-.015863158,.0096518248,.48077059,.39960754,.10694534,.0020386761,.13477241,.0020542257,.035107143,48,348.45834,16726,N,N,N,-.020473458,58
NNN,btctrade,-.060343392,.060813818,-.36446303,.10630847,-.076686107,.081462786,.50247186,.18067981,.51922244,.027335107,1,.025985401,.0077124764,2,848,1696,N,N,N,-.1370295,58
NNN,btcbox,.024635715,0,.035558984,0,-.059503682,0,,,,.0012378817,,.0012378817,,1,2532,2532,N,N,N,-.034867965,58
NNN,btcc,-.11507585,0,.50742447,0,-.33213615,0,,,,.094613068,,.094613068,,1,265,265,N,N,N,-.44721201,58
NNN,fisco,-.035567127,.19734903,.35727018,.66174012,-.067245573,.12230054,.88648409,.68484014,.67995888,.0045358753,1,.0006522683,.067241766,2,173.5,347,N,N,N,-.1028127,58
NNN,yunex,.36462897,.2126082,-2.835314,1.0524355,.14142939,.23462789,.16148721,.054428928,.57916087,.0026900754,.023374906,.0029049637,.013371455,5,940.79999,4704,N,N,N,.50605834,58
NNN,rfinex,.22714774,.13875477,-5.4608727,3.9704497,1.8098763,1.7376335,.16254768,.22743794,.34532878,.085361369,.0046287044,.084175862,.017801046,6,293.66666,1762,N,N,N,2.037024,58
NNN,gm,-.00085522817,.0048950077,.0070111584,.020411335,.0027688085,.0040360787,.86625004,.74131322,.51477569,.0011118285,.023017511,.0009835856,.043506172,8,115.625,925,N,N,N,.0019135803,58
NNN,coineal,.013105177,.009144078,.014367462,.031407833,-.015104069,.0087181898,.16214433,.65064454,.093459412,.0043872749,.0011471516,.0036388643,.047525339,31,293.64517,9103,N,N,N,-.0019988921,58
NNN,binancejex,.099305287,.056978673,-2.1052971,2.6728344,.45540991,.76350993,.14182308,.46657345,.57683903,.045067944,.99792951,.11277153,.98608208,6,185.33333,1112,N,N,N,.55471522,58
NNN,huobi,-.068168625,.085993841,-.68193114,.61200202,.00060126046,.090208873,.43680847,.27775726,.9947449,.0023054695,.10609368,.0018532621,.77192491,22,155.72728,3426,N,N,N,-.067567363,58
NNN,bitmax,.058334384,.031252466,-.018189155,.1245594,-.019878117,.029659051,.06276568,.88397992,.50314075,.0011926417,.00075410679,.0014000084,.65748507,366,654.13116,239412,N,N,N,.038456269,58
NNN,coinex,.17600566,.14708717,.66199768,.46311694,-.22888914,.14269176,.23721717,.15922289,.1151232,.033016611,.031525698,.025490459,.27323064,50,320.89999,16045,N,N,N,-.052883476,58
NNN,kucoin,-.0020908762,.0077670692,.027271485,.024790838,-.0088945599,.0087357908,.78787577,.27177233,.30903003,.00026934862,.022146646,.000051542753,.80409378,567,705.80072,400189,N,N,N,-.010985436,58
NNN,bitget,.015257701,.025385851,.078734048,.079573244,-.019299291,.025070542,.54807436,.32289013,.44175985,.00023443274,.0018578914,.00027633039,.34826696,534,291.27155,155539,N,N,N,-.0040415898,58
NNN,coinsbank,.22196054,.1402248,-.65703952,.53364301,.028626109,.13519636,.14790604,.24943823,.83702922,.0044825156,.091456309,.0049373894,.0073076668,10,428.20001,4282,N,N,N,.25058666,58
NNN,oceanex,-.13448156,.13482966,-.056302458,.459364,-.12555908,.08929459,.35178339,.90589535,.20249173,.01088618,.40538469,.0046701781,.14243519,8,510.625,4085,N,N,N,-.26004064,58
NNN,bitbank,.064724222,.039301682,.0097424295,.021599917,-.077451758,.026046135,.24134065,.69614607,.096926913,.0093695801,.93068737,.010848498,.023380565,3,1831.3334,5494,N,N,N,-.012727536,58
NNN,bitkonan,.19829582,.10715368,.34565264,.62881231,-.30783364,.074451186,.31539539,.680031,.15106888,.017652035,1,.018960737,.022308625,2,941.5,1883,N,N,N,-.10953782,58
NNN,bter,.062359225,.048152354,-.79479253,.45908076,-.010710509,.041849334,.23638056,.12701488,.80536264,.0052148993,.22116646,.0015657177,.2629106,8,137.625,1101,N,N,N,.051648714,58
NNN,biki,.0041973172,.0098903198,-.071980253,.052077305,-.016849875,.0088872481,.67185771,.16885474,.059779316,.00094830187,.0099142278,.00079167675,.49417606,160,266.60001,42656,N,N,N,-.012652558,58
NNN,bybit,-.00043081792,.0012813236,-.0030611684,.0040568388,.00071643869,.0012651387,.73710114,.45152134,.57192039,.000065889537,.000023485774,.000057944086,.046538986,176,364.97159,64235,N,N,N,.00028562077,58
NNN,zbg,.099685661,.066302933,.015716853,.11392771,-.077876896,.061294254,.14760414,.89159054,.21778792,.0076609487,.016138509,.0053485213,.14351989,22,379.72726,8354,N,N,N,.021808766,58
NNN,bitflyer,.015791735,.026162149,.25212619,.17735873,-.099173501,.055069108,.60744458,.29106358,.21351773,.0031538063,.6840843,.0035665759,.042912532,3,481.33334,1444,N,N,N,-.083381765,58
NNN,paymium,.0062840092,0,-.015874747,0,-.15702555,0,,,,.013953442,,.013953442,,1,2669,2669,N,N,N,-.15074153,58
NNN,huobifts,.0030055472,.0025988203,.0062261359,.0085561713,-.003883787,.002575648,.24899064,.46774593,.13331728,.0017387873,.00042917428,.001782503,.096868426,183,363.43716,66509,N,N,N,-.00087823975,58
NNN,citex,.014793582,.017766051,-.042229515,.036712687,-.024895262,.0047859466,.5579583,.45558244,.12091075,.010650155,1,.010535689,.0058420743,2,335.5,671,N,N,N,-.01010168,58
NNN,abucoins,-.01853852,.071210086,.26027092,.80669969,-.2241262,.12066935,.8011803,.7552411,.10033686,.022930967,.8697505,.027228922,.082847282,9,102.22222,920,N,N,N,-.24266472,58
NNN,isx,.49405429,.065760851,-.56090808,.53242594,-.63113368,.15748331,.084241793,.48341936,.15567331,.021717103,1,.011101768,.640055,2,655.5,1311,N,N,N,-.13707939,58
NNN,cryptaldash,.094946131,.1274855,.6781745,1.093685,-.32228062,.17592216,.48991957,.56236798,.12645006,.0068697361,.0034023742,.0038339458,.83967555,6,206.33333,1238,N,N,N,-.22733448,58
